Term CValue
minutes 7.7836405962212529
problem 7.7836405962212529
"intl workshop" 7.6948480723846107
"ancient times" 7.6948480723846107
"point in time" 7.6948480723846107
timeintervals 7.6948480723846107
"model of time" 7.6948480723846107
"time quantity" 7.6948480723846107
egm 7.6902860206767683
a15 7.6902860206767683
model 7.6299278811690678
rdfs 7.6246189861593985
"ontology of sociocultural time expressions" 7.4753392365667368
"possible way" 7.4547199493640015
"related work" 7.4547199493640015
compositions 7.4547199493640015
"basic models" 7.4547199493640015
logic 7.4308090850680806
"number of parallel independent time lines" 7.4271441334086159
worksfor 7.426576934570841
psitime 7.3944585664101901
"document collection" 7.3610974479161007
feature 7.2529378282970773
"time structures" 7.2214672029392277
pustejovsky 7.193685818395112
plexousakis 7.193685818395112
"date values" 7.193685818395112
"linear time" 7.193685818395112
months 7.1670378769122198
artale 7.1670378769122198
" allen" 7.1670378769122198
"mixed pointintervalbased framework" 7.0527210492323231
"project by cadence design systems" 6.9930151229329605
"european semantic web conference" 6.9314718055994531
"new object" 6.9077552789821377
timepoints 6.9077552789821377
importance 6.9077552789821377
hypothesis 6.9077552789821377
" preventis" 6.9077552789821377
"ontology specification language" 6.8679744089702925
"support for undefined intervals" 6.8679744089702925
"foundations of computer science" 6.8679744089702925
"suggested upper merged ontology" 6.8679744089702925
"relationships between intervals" 6.8679744089702925
"periodicity in time structures" 6.8023947633243109
"nonconvexity of time intervals" 6.8023947633243109
"terminology contribution peaks" 6.8023947633243109
"qualitative temporal reasoning" 6.8023947633243109
"qualitative temporal relations" 6.8023947633243109
"extra classesobject properies" 6.7345916599729483
"temporal relation inferencing" 6.7345916599729483
proper 6.7190980096052062
"account for temporal periods" 6.6644090203504076
"account for datetime formats" 6.6644090203504076
"theory of temporal incidence" 6.6644090203504076
wwwcyccomplatformresearchcyc 6.6644090203504076
sie 6.5916737320086582
instances 6.5916737320086582
"psi suite" 6.5916737320086582
branching 6.5916737320086582
henzinger 6.5916737320086582
"term list" 6.5916737320086582
mctaggart 6.5916737320086582
arguments 6.5916737320086582
aristotle 6.5916737320086582
"temporal incidence theories" 6.5916737320086582
"natural language processing" 6.5916737320086582
"successorforming symbols ni" 6.5916737320086582
"focus of scientific thought" 6.5916737320086582
"periodic temporal elements" 6.5161930760429643
"fuzziness in time instants" 6.5161930760429643
"j acm" 6.4377516497364011
views 6.4377516497364011
"complete possible history" 6.4377516497364011
"time document collection" 6.3561076606958915
"fuzziness in time points" 6.3561076606958915
"nonnegative real numbers" 6.3561076606958915
"proliferation of objects" 6.3561076606958915
"terminological footprint" 6.3561076606958915
"particular time interval" 6.3561076606958915
"crossdisciplinary effort" 6.3561076606958915
"temporal representations" 6.3561076606958915
"approximation algorithms" 6.3561076606958915
"time interval i1 shares" 6.2709884318582994
"temporal rdf  gutierrez" 6.2709884318582994
"foundational ontologies" 6.2709884318582994
"opinion of time authors" 6.2709884318582994
"one single basic theory" 6.2709884318582994
"general formal ontology" 6.2709884318582994
"psi upperlevel ontology" 6.2709884318582994
"particular applications" 6.2709884318582994
taxonomy 6.2383246250395068
reasoner 6.2383246250395068
"basic theory" 6.2122666244700007
"swrl temporal ontology" 6.1820849067166321
"reusable time ontology" 6.1820849067166321
"scope of owl reasoners" 6.1820849067166321
languages 6.1522288165414141
relativist 6.14022691465079
nonconvextimeinterval 6.089044875446846
"metric temporal logic" 6.089044875446846
"aaai spring symposium" 6.089044875446846
"objects of properties" 6.089044875446846
"cognitive engineering" 6.089044875446846
"annals of mathematics" 6.089044875446846
"time paper collection" 6.089044875446846
"ontologies  ermolayev" 6.089044875446846
"basic formal ontology" 6.089044875446846
concepts 6.0303804708715232
"corresponding qualia" 5.9914645471079817
"indirect predecessor" 5.9914645471079817
"time markup language" 5.9914645471079817
"continuous time line" 5.9914645471079817
"initial situation s0" 5.9914645471079817
"temporal constraints" 5.9914645471079817
"akt support ontology" 5.9914645471079817
"descriptive ontology" 5.9914645471079817
"time symposia series" 5.9914645471079817
"comparative analysis" 5.9914645471079817
"range of granularity" 5.9914645471079817
swrltemporalontology 5.9914645471079817
"syntactical variants" 5.9914645471079817
"materialized product" 5.9914645471079817
crisp 5.9012723455917016
fuzzy 5.9012723455917016
"calendar structures" 5.8888779583328805
"unique contribution" 5.8888779583328805
"comparative summary" 5.8888779583328805
durationdescription 5.8888779583328805
"decidable fragments" 5.8888779583328805
"logicbased approach" 5.8888779583328805
"locationof function" 5.8888779583328805
"reference durations" 5.8888779583328805
sohnius 5.8377304471659395
density 5.8377304471659395
mapping 5.8377304471659395
changes 5.8377304471659395
vaisman 5.8377304471659395
belongs 5.8377304471659395
actions 5.8377304471659395
"temporal knowledge" 5.780743515792329
"temporal operators" 5.780743515792329
"fundamental aspect" 5.780743515792329
"pairs of relations" 5.780743515792329
"asserted relations" 5.780743515792329
"continuity of time" 5.780743515792329
"universal timeline" 5.780743515792329
"temporal distances" 5.780743515792329
"incremental slices" 5.780743515792329
"prominent theories" 5.780743515792329
"relation worksfor" 5.6664266881124323
"community members" 5.6664266881124323
"temporal segments" 5.6664266881124323
"special intervals" 5.6664266881124323
"relaxed linearity" 5.6664266881124323
"semantic web iswc" 5.6664266881124323
"datetime datatype" 5.6664266881124323
"usability aspects" 5.6664266881124323
"akt time ontology" 5.6664266881124323
"linearity of time" 5.6664266881124323
"other time points" 5.6664266881124323
"important subject" 5.6664266881124323
"normalized scores" 5.6664266881124323
type 5.5451774444795623
lutz 5.5451774444795623
days 5.5451774444795623
year 5.5451774444795623
segments 5.5451774444795623
"proper intervals" 5.5451774444795623
"other ontologies" 5.5451774444795623
"temporal classes" 5.5451774444795623
"domain timepoint" 5.5451774444795623
"temporal content" 5.5451774444795623
"temporal periods" 5.5451774444795623
"temporal regions" 5.5451774444795623
"grayshaded cells" 5.5451774444795623
" anagnostopoulos" 5.5451774444795623
"specific concept" 5.5451774444795623
bfo 5.4930614433405491
pan 5.4930614433405491
end 5.4930614433405491
"temporal theory" 5.4161004022044201
"allen relations" 5.4161004022044201
"different types" 5.4161004022044201
"fuzzy relations" 5.4161004022044201
"time  ermolayev" 5.4161004022044201
"single ontology" 5.4161004022044201
"realtime logics" 5.4161004022044201
"selected papers" 5.4161004022044201
"ordered triples" 5.4161004022044201
"system sciences" 5.4161004022044201
"database models" 5.4161004022044201
"interior points" 5.4161004022044201
"possible reason" 5.4161004022044201
"domain for time" 5.4161004022044201
"temporal module" 5.4161004022044201
"sets of periods" 5.4161004022044201
clarke 5.3752784076841653
fensel 5.3752784076841653
psiulo 5.3752784076841653
pnueli 5.3752784076841653
notion 5.3752784076841653
owlmet 5.3752784076841653
convex 5.3752784076841653
" motik" 5.3752784076841653
subject 5.3512529099021116
"sowl  batsakis" 5.2781146592305168
"other features" 5.2781146592305168
"nature of time" 5.2781146592305168
"total ordering" 5.2781146592305168
"hybrid systems" 5.2781146592305168
classification 5.2781146592305168
"fuzzy interval" 5.2781146592305168
"time branching" 5.2781146592305168
"fluents  welty" 5.2781146592305168
temporalpartof 5.2781146592305168
temporalextent 5.2781146592305168
"direct support" 5.2781146592305168
"annals of pure" 5.2781146592305168
opinion 5.1890937308141689
objects 5.1427625367890419
compatibility 5.1298987149230735
"applied logic" 5.1298987149230735
"such mappings" 5.1298987149230735
"partial order" 5.1298987149230735
stravoskoufos 5.1298987149230735
"interval sets" 5.1298987149230735
"time measures" 5.1298987149230735
"whole of time" 5.1298987149230735
"toql  baratis" 5.1298987149230735
"extra objects" 5.1298987149230735
"abelian group" 5.1298987149230735
"finite number" 5.1298987149230735
startingpoint 5.1298987149230735
"time elements" 5.1298987149230735
"standard time" 5.1298987149230735
"reusable time" 5.1298987149230735
sowl 5.083079324106266
"della monica" 4.9698132995760007
"date suffice" 4.9698132995760007
"date formats" 4.9698132995760007
"part of time" 4.9698132995760007
"modal logics" 4.9698132995760007
"web services" 4.9698132995760007
significance 4.9698132995760007
temporalpart 4.9698132995760007
"special case" 4.9698132995760007
completeness 4.9698132995760007
reals 4.8283137373023006
owldl 4.8283137373023006
month 4.8283137373023006
cases 4.8283137373023006
clock 4.8283137373023006
start 4.8283137373023006
label 4.8283137373023006
hours 4.8283137373023006
table 4.8283137373023006
field 4.8283137373023006
"span entity" 4.7957905455967413
imprecision 4.7957905455967413
"use of rdfs" 4.7957905455967413
" koubarakis" 4.7957905455967413
"new version" 4.7957905455967413
timeinstant 4.7957905455967413
endingpoint 4.7957905455967413
consequence 4.7957905455967413
"time models" 4.7957905455967413
"last column" 4.7957905455967413
"time papers" 4.7957905455967413
alternative 4.7957905455967413
validperiod 4.7957905455967413
"metric time" 4.7957905455967413
proceedings 4.7957905455967413
application 4.7957905455967413
possibility 4.7957905455967413
combination 4.7957905455967413
"interval i2" 4.7957905455967413
effort 4.7780252512748138
"temporal ontology" 4.7220222400936942
"semantic web conference" 4.7032413238937245
order 4.6673699460588907
"temporal part" 4.6169088434307666
zamborlini 4.6051701859880918
phenomenon 4.6051701859880918
"phd thesis" 4.6051701859880918
"other hand" 4.6051701859880918
"point zero" 4.6051701859880918
quintuples 4.6051701859880918
timestamps 4.6051701859880918
indication 4.6051701859880918
wennerberg 4.6051701859880918
timeentity 4.6051701859880918
subclasses 4.6051701859880918
"swrl rules" 4.6051701859880918
"major gaps" 4.6051701859880918
"lower part" 4.6051701859880918
linguistic 4.6051701859880918
"time stamp" 4.6051701859880918
dimensions 4.6051701859880918
anisotropy 4.6051701859880918
approaches 4.6051701859880918
components 4.6051701859880918
dense 4.5983940355260007
constraints 4.4960536364969448
relationships 4.4886613755576894
aspects 4.4477946264121444
elements 4.4188132760696508
"community sentiment" 4.4166584687496604
idr 4.3944491546724391
"web pages" 4.3944491546724391
sciavicco 4.3944491546724391
gregersen 4.3944491546724391
chronicle 4.3944491546724391
guizzardi 4.3944491546724391
hodkinson 4.3944491546724391
"rdf graph" 4.3944491546724391
rationals 4.3944491546724391
databases 4.3944491546724391
"natl conf" 4.3944491546724391
functions 4.3944491546724391
necessity 4.3944491546724391
nonconvex 4.3944491546724391
mechanism 4.3944491546724391
"date line" 4.3944491546724391
policriti 4.3944491546724391
timestamp 4.3944491546724391
processes 4.3944491546724391
behaviour 4.3944491546724391
kyzirakos 4.3944491546724391
"timed ptl" 4.3944491546724391
"ieee international enterprise distributed object computing conference workshops" 4.3694478524670215
"real numbers" 4.3485866371290003
periodicity 4.1963167273971482
emphasis 4.1588830833596715
kostylev 4.1588830833596715
jentzsch 4.1588830833596715
interest 4.1588830833596715
integers 4.1588830833596715
" lamport" 4.1588830833596715
universe 4.1588830833596715
disjoint 4.1588830833596715
abdallah 4.1588830833596715
majority 4.1588830833596715
" ladyman" 4.1588830833596715
boundary 4.1588830833596715
"rdf data" 4.1588830833596715
fois2012 4.1588830833596715
proposal 4.1588830833596715
progress 4.1588830833596715
secondof 4.1588830833596715
seaborne 4.1588830833596715
schmolze 4.1588830833596715
polleres 4.1588830833596715
finishes 4.1588830833596715
contrast 4.1588830833596715
burckert 4.1588830833596715
response 4.1588830833596715
category 4.1588830833596715
reynolds 4.1588830833596715
subclass 4.1588830833596715
"cyc time" 4.1588830833596715
"stands for allens interval calculus relations implementation" 4.0943445622221004
isrgkitznueduuaontodocwikiindexphppsi_upperlevel_ontology 4.0430512678345503
isrgkitznueduuaontodocwikiindexphppsi_core_time_ontology 4.0253516907351496
predecessor 3.9964921213306179
"description logic language constructs  baader et al" 3.9318256327243257
renz 3.9278340231730229
"terms of type timeinterval denoting time intervals" 3.912023005428146
sigmakeecvssourceforgenetviewvcsigmakeekbsmergekif 3.912023005428146
koymans 3.8918202981106265
krokhin 3.8918202981106265
passant 3.8918202981106265
solbrig 3.8918202981106265
monthof 3.8918202981106265
control 3.8918202981106265
goranko 3.8918202981106265
kampman 3.8918202981106265
chronos 3.8918202981106265
bounded 3.8918202981106265
scaling 3.8918202981106265
emerson 3.8918202981106265
seconds 3.8918202981106265
"representation of temporally changing information" 3.8918202981106265
"case of transitive properties additional triples" 3.8712010109078911
"other scientific knowledge management activities" 3.8712010109078911
discrete 3.8618200059768379
"reasoning in business intelligence applications" 3.8501476017100584
framework 3.8451430103383841
" gutierrez" 3.8376418216567432
swrlstanfordeduontologiesbuiltins33temporalowl 3.8286413964890951
"life several prominent theoretical frameworks" 3.8066624897703196
"large expressive knowledge sets  baader et al" 3.8066624897703196
"darpa highperformance knowledge bases project" 3.8066624897703196
"prototype temporal description logic reasoner" 3.8066624897703196
"annotation of timedependent factual knowledge" 3.8066624897703196
"terms of type property denoting propositions" 3.784189633918261
"introduction of description logics  brachman" 3.784189633918261
"semantics of qualitative temporal relations" 3.7612001156935624
"time proceedings series document collection" 3.7612001156935624
concept 3.7528267160352469
"propositional interval neighborhood logics" 3.7376696182833684
"temporal representationquerying approaches" 3.7376696182833684
"reasoning intervalbased temporal knowledge" 3.7376696182833684
"expressivitydecidabilitycomplexity balance" 3.7376696182833684
"support for qualitative temporal relations" 3.7376696182833684
"years with terminology contribution peaks" 3.713572066704308
motoolssourceforgenettimelinetimelinehtml 3.713572066704308
"qualitative temporal constraint reasoning" 3.713572066704308
"extra class employmentdetailsnaryrelation" 3.713572066704308
wwwisiedupandamltimetemporalaggregatesowl 3.713572066704308
"mfotl metrical first order temporal logic" 3.713572066704308
term 3.6967849629863752
"correspondences between allens relations" 3.6888794541139363
"eu fp7 marie curie irses semdata project" 3.6888794541139363
"ontology engineering patterns task force" 3.6888794541139363
"use of periodic time interval structures" 3.6888794541139363
" relativetimeline semiinfinite time line" 3.6888794541139363
"requirement in computer science research" 3.6888794541139363
"main knowledge representation formalisms" 3.6888794541139363
"combination of several binary relations" 3.6635616461296463
"section theoretical temporal frameworks" 3.6635616461296463
"developments in artificial intelligence" 3.6635616461296463
"quantified propositional temporal logic" 3.6635616461296463
ermolayevcomtimeontotimepapersimpactzip 3.6635616461296463
" batsakis" 3.6620409622270329
"principles of knowledge representation" 3.6375861597263857
ermolayevcomtimeontoclassifiedtermszip 3.6375861597263857
wwwloaistccnritoldontologiesdlp_397owl 3.6375861597263857
"stanfords knowledge systems laboratory" 3.6375861597263857
"darpas high performance knowledge base" 3.6375861597263857
"representation of temporal information" 3.6375861597263857
wwwintelligencetucgrlibdownloadfilephp 3.6375861597263857
"performance in microelectronic design" 3.6109179126442243
"epsrc advanced knowledge technologies" 3.6109179126442243
"defined temporal information  oconnor" 3.6109179126442243
"corresponding temporal representation" 3.6109179126442243
"philosophische untersuchungen zu raum" 3.6109179126442243
"respective collection slice increment" 3.6109179126442243
"derivative of celestial sphere motion" 3.6109179126442243
"engineering design performance domain" 3.6109179126442243
"framework for temporal representation" 3.6109179126442243
"technomathematics research foundation" 3.6109179126442243
